lambda,beta,frac_campo,ion
1512.605042,13076523.53,0.145294253,3
1512.605042,13076913.88,0.145343085,3
1512.605042,13077304.78,0.145391958,3
1512.605042,13077696.22,0.145440869,3
1512.605042,13078088.21,0.145489821,3
1512.605042,13078480.75,0.145538812,3
1512.605042,13078873.84,0.145587842,3
1512.605042,13079267.48,0.145636912,3
1512.605042,13079661.67,0.145686021,3
1512.605042,13080056.41,0.14573517,3
1512.605042,13080451.7,0.145784357,3
1512.605042,13080847.54,0.145833584,3
1512.605042,13081243.93,0.145882849,3
1512.605042,13081640.87,0.145932153,3
1512.605042,13082038.36,0.145981496,3
1512.605042,13082436.41,0.146030878,3
1512.605042,13082835.01,0.146080298,3
1512.605042,13083234.16,0.146129757,3
1512.605042,13083633.87,0.146179255,3
1512.605042,13084034.12,0.14622879,3
1512.605042,13084434.94,0.146278364,3
1512.605042,13084836.3,0.146327976,3
1512.605042,13085238.23,0.146377626,3
1512.605042,13085640.7,0.146427315,3
1512.605042,13086043.74,0.146477041,3
1512.605042,13086447.33,0.146526805,3
1512.605042,13086851.47,0.146576607,3
1512.605042,13087256.18,0.146626446,3
1512.605042,13087661.44,0.146676323,3
1512.605042,13088067.25,0.146726237,3
1512.605042,13088473.63,0.146776189,3
1512.605042,13088880.56,0.146826178,3
1512.605042,13089288.06,0.146876204,3
1512.605042,13089696.11,0.146926268,3
1516.806723,13009092.01,0.14362758,3
1516.806723,13009449.75,0.143673593,3
1516.806723,13009808.02,0.143719649,3
1516.806723,13010166.81,0.143765749,3
1516.806723,13010526.13,0.143811892,3
1516.806723,13010885.98,0.143858079,3
1516.806723,13011246.35,0.143904309,3
1516.806723,13011607.25,0.143950582,3
1516.806723,13011968.68,0.143996899,3
1516.806723,13012330.63,0.144043259,3
1516.806723,13012693.12,0.144089662,3
1516.806723,13013056.13,0.144136108,3
1516.806723,13013419.67,0.144182597,3
1516.806723,13013783.74,0.144229129,3
1516.806723,13014148.35,0.144275704,3
1516.806723,13014513.48,0.144322321,3
1516.806723,13014879.14,0.144368982,3
1516.806723,13015245.33,0.144415684,3
1516.806723,13015612.06,0.14446243,3
1516.806723,13015979.32,0.144509218,3
1516.806723,13016347.11,0.144556048,3
1516.806723,13016715.43,0.144602921,3
1516.806723,13017084.28,0.144649836,3
1516.806723,13017453.67,0.144696793,3
1516.806723,13017823.59,0.144743792,3
1516.806723,13018194.05,0.144790834,3
1516.806723,13018565.04,0.144837917,3
1516.806723,13018936.56,0.144885042,3
1516.806723,13019308.62,0.144932209,3
1516.806723,13019681.22,0.144979418,3
1516.806723,13020054.35,0.145026669,3
1516.806723,13020428.02,0.145073961,3
1516.806723,13020802.22,0.145121295,3
1516.806723,13021176.96,0.14516867,3
1516.806723,13021552.24,0.145216087,3
1516.806723,13021928.06,0.145263545,3
1516.806723,13022304.41,0.145311044,3
1516.806723,13022681.3,0.145358585,3
1516.806723,13023058.73,0.145406166,3
1516.806723,13023436.71,0.145453789,3
1516.806723,13023815.22,0.145501453,3
